**********************./dbp_wd_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 5028 = 15000
ents: 15000 + 5976 = 15000
all ents: 25500
all rels: 253 144 397
all triples: 38421 + 40159 = 78580
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
0/1000, rel loss = 183494.728, time = 0.970 s
1/1000, sim loss = 837.569, time = 1.602 s
2/1000, rel loss = 166766.105, time = 0.872 s
3/1000, sim loss = 829.501, time = 0.402 s
4/1000, rel loss = 156641.000, time = 0.878 s
5/1000, sim loss = 821.687, time = 0.396 s
6/1000, rel loss = 149048.396, time = 0.876 s
7/1000, sim loss = 814.199, time = 0.394 s
8/1000, rel loss = 142490.143, time = 0.879 s
9/1000, sim loss = 807.024, time = 0.405 s
10/1000, rel loss = 137028.868, time = 0.878 s
11/1000, sim loss = 800.053, time = 0.402 s
12/1000, rel loss = 132201.557, time = 0.876 s
13/1000, sim loss = 793.403, time = 0.392 s
14/1000, rel loss = 127812.017, time = 0.880 s
15/1000, sim loss = 786.887, time = 0.394 s
16/1000, rel loss = 123951.788, time = 0.882 s
17/1000, sim loss = 780.583, time = 0.395 s
18/1000, rel loss = 120342.683, time = 0.875 s
19/1000, sim loss = 774.512, time = 0.395 s
20/1000, rel loss = 116994.535, time = 0.885 s
21/1000, sim loss = 768.688, time = 0.414 s
22/1000, rel loss = 113946.473, time = 0.880 s
23/1000, sim loss = 763.027, time = 0.395 s
24/1000, rel loss = 110950.384, time = 0.876 s
25/1000, sim loss = 757.571, time = 0.398 s
26/1000, rel loss = 108351.800, time = 0.878 s
27/1000, sim loss = 752.279, time = 0.394 s
28/1000, rel loss = 105772.251, time = 0.876 s
29/1000, sim loss = 747.167, time = 0.391 s
30/1000, rel loss = 103484.486, time = 0.884 s
31/1000, sim loss = 742.146, time = 0.400 s
32/1000, rel loss = 101166.071, time = 0.877 s
33/1000, sim loss = 737.388, time = 0.393 s
34/1000, rel loss = 99021.006, time = 0.877 s
35/1000, sim loss = 732.750, time = 0.406 s
36/1000, rel loss = 97055.422, time = 0.883 s
37/1000, sim loss = 728.237, time = 0.392 s
38/1000, rel loss = 94961.505, time = 0.884 s
39/1000, sim loss = 723.818, time = 0.396 s
40/1000, rel loss = 93236.081, time = 0.882 s
41/1000, sim loss = 719.651, time = 0.415 s
42/1000, rel loss = 91451.678, time = 0.883 s
43/1000, sim loss = 715.529, time = 0.391 s
44/1000, rel loss = 89750.282, time = 0.875 s
45/1000, sim loss = 711.499, time = 0.396 s
46/1000, rel loss = 88218.587, time = 0.878 s
47/1000, sim loss = 707.564, time = 0.395 s
48/1000, rel loss = 86613.733, time = 0.879 s
49/1000, sim loss = 703.773, time = 0.390 s
50/1000, rel loss = 85082.647, time = 0.880 s
51/1000, sim loss = 700.065, time = 0.392 s
52/1000, rel loss = 83790.335, time = 0.881 s
53/1000, sim loss = 696.451, time = 0.398 s
54/1000, rel loss = 82249.149, time = 0.885 s
55/1000, sim loss = 692.966, time = 0.397 s
56/1000, rel loss = 80988.312, time = 0.879 s
57/1000, sim loss = 689.464, time = 0.395 s
58/1000, rel loss = 79627.023, time = 0.883 s
59/1000, sim loss = 686.161, time = 0.403 s
