**********************./dbp_yg_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 3818 = 15000
ents: 15000 + 3357 = 15000
all ents: 25500
all rels: 223 30 253
all triples: 33748 + 36569 = 70317
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
0/1000, rel loss = 182415.347, time = 0.970 s
1/1000, sim loss = 706.783, time = 1.243 s
2/1000, rel loss = 165514.588, time = 0.869 s
3/1000, sim loss = 703.120, time = 0.290 s
4/1000, rel loss = 155459.261, time = 0.863 s
5/1000, sim loss = 699.569, time = 0.292 s
6/1000, rel loss = 147768.052, time = 0.872 s
7/1000, sim loss = 696.106, time = 0.291 s
8/1000, rel loss = 141458.188, time = 0.865 s
9/1000, sim loss = 692.732, time = 0.291 s
10/1000, rel loss = 136085.230, time = 0.858 s
11/1000, sim loss = 689.455, time = 0.290 s
12/1000, rel loss = 131273.622, time = 0.866 s
13/1000, sim loss = 686.281, time = 0.291 s
14/1000, rel loss = 126982.869, time = 0.859 s
15/1000, sim loss = 683.181, time = 0.288 s
16/1000, rel loss = 123111.083, time = 0.867 s
17/1000, sim loss = 680.166, time = 0.289 s
18/1000, rel loss = 119573.577, time = 0.866 s
19/1000, sim loss = 677.220, time = 0.289 s
20/1000, rel loss = 116267.371, time = 0.876 s
21/1000, sim loss = 674.373, time = 0.294 s
22/1000, rel loss = 113182.832, time = 0.867 s
23/1000, sim loss = 671.581, time = 0.291 s
24/1000, rel loss = 110315.529, time = 0.866 s
25/1000, sim loss = 668.850, time = 0.292 s
26/1000, rel loss = 107661.809, time = 0.863 s
27/1000, sim loss = 666.198, time = 0.292 s
28/1000, rel loss = 105123.582, time = 0.870 s
29/1000, sim loss = 663.611, time = 0.289 s
30/1000, rel loss = 102743.146, time = 0.869 s
31/1000, sim loss = 661.084, time = 0.292 s
32/1000, rel loss = 100445.604, time = 0.861 s
33/1000, sim loss = 658.610, time = 0.291 s
34/1000, rel loss = 98303.844, time = 0.865 s
35/1000, sim loss = 656.219, time = 0.291 s
36/1000, rel loss = 96266.227, time = 0.864 s
37/1000, sim loss = 653.863, time = 0.291 s
38/1000, rel loss = 94275.577, time = 0.861 s
39/1000, sim loss = 651.589, time = 0.291 s
40/1000, rel loss = 92408.633, time = 0.872 s
41/1000, sim loss = 649.358, time = 0.291 s
42/1000, rel loss = 90603.290, time = 0.863 s
43/1000, sim loss = 647.210, time = 0.292 s
44/1000, rel loss = 88906.451, time = 0.867 s
45/1000, sim loss = 645.101, time = 0.294 s
46/1000, rel loss = 87232.140, time = 0.868 s
47/1000, sim loss = 643.043, time = 0.289 s
48/1000, rel loss = 85660.560, time = 0.866 s
49/1000, sim loss = 641.035, time = 0.288 s
50/1000, rel loss = 84156.199, time = 0.869 s
51/1000, sim loss = 639.074, time = 0.290 s
52/1000, rel loss = 82638.488, time = 0.864 s
53/1000, sim loss = 637.171, time = 0.292 s
54/1000, rel loss = 81206.312, time = 0.861 s
55/1000, sim loss = 635.294, time = 0.290 s
56/1000, rel loss = 79838.566, time = 0.869 s
57/1000, sim loss = 633.478, time = 0.293 s
58/1000, rel loss = 78515.369, time = 0.871 s
59/1000, sim loss = 631.699, time = 0.291 s
60/1000, rel loss = 77244.362, time = 0.864 s
61/1000, sim loss = 629.986, time = 0.295 s
62/1000, rel loss = 75982.019, time = 0.870 s
63/1000, sim loss = 628.287, time = 0.293 s
64/1000, rel loss = 74791.012, time = 0.870 s
65/1000, sim loss = 626.645, time = 0.291 s
66/1000, rel loss = 73651.042, time = 0.868 s
67/1000, sim loss = 625.045, time = 0.291 s
68/1000, rel loss = 72536.162, time = 0.859 s
69/1000, sim loss = 623.474, time = 0.290 s
70/1000, rel loss = 71454.892, time = 0.869 s
71/1000, sim loss = 621.955, time = 0.291 s
72/1000, rel loss = 70382.842, time = 0.864 s
73/1000, sim loss = 620.454, time = 0.290 s
74/1000, rel loss = 69382.952, time = 0.868 s
75/1000, sim loss = 618.983, time = 0.291 s
76/1000, rel loss = 68386.621, time = 0.872 s
77/1000, sim loss = 617.547, time = 0.290 s
78/1000, rel loss = 67400.422, time = 0.860 s
79/1000, sim loss = 616.167, time = 0.292 s
80/1000, rel loss = 66450.295, time = 0.869 s
81/1000, sim loss = 614.797, time = 0.291 s
82/1000, rel loss = 65531.980, time = 0.858 s
83/1000, sim loss = 613.472, time = 0.293 s
84/1000, rel loss = 64670.103, time = 0.863 s
85/1000, sim loss = 612.167, time = 0.290 s
86/1000, rel loss = 63827.314, time = 0.871 s
87/1000, sim loss = 610.880, time = 0.290 s
88/1000, rel loss = 62946.167, time = 0.856 s
89/1000, sim loss = 609.636, time = 0.293 s
90/1000, rel loss = 62119.030, time = 0.877 s
91/1000, sim loss = 608.422, time = 0.291 s
92/1000, rel loss = 61332.714, time = 0.870 s
93/1000, sim loss = 607.232, time = 0.294 s
94/1000, rel loss = 60539.139, time = 0.860 s
95/1000, sim loss = 606.080, time = 0.289 s
96/1000, rel loss = 59790.292, time = 0.871 s
97/1000, sim loss = 604.940, time = 0.293 s
98/1000, rel loss = 59052.109, time = 0.868 s
99/1000, sim loss = 603.817, time = 0.293 s
100/1000, rel loss = 58335.983, time = 0.867 s
101/1000, sim loss = 602.735, time = 0.290 s
102/1000, rel loss = 57623.328, time = 0.866 s
103/1000, sim loss = 601.672, time = 0.293 s
104/1000, rel loss = 56912.819, time = 0.869 s
105/1000, sim loss = 600.645, time = 0.291 s
106/1000, rel loss = 56234.755, time = 0.858 s
107/1000, sim loss = 599.624, time = 0.291 s
108/1000, rel loss = 55592.511, time = 0.867 s
109/1000, sim loss = 598.630, time = 0.292 s
110/1000, rel loss = 54931.510, time = 0.865 s
111/1000, sim loss = 597.649, time = 0.292 s
112/1000, rel loss = 54319.642, time = 0.870 s
113/1000, sim loss = 596.701, time = 0.290 s
114/1000, rel loss = 53666.940, time = 0.865 s
115/1000, sim loss = 595.771, time = 0.293 s
116/1000, rel loss = 53108.561, time = 0.869 s
117/1000, sim loss = 594.856, time = 0.293 s
118/1000, rel loss = 52513.211, time = 0.866 s
119/1000, sim loss = 593.971, time = 0.289 s
120/1000, rel loss = 51927.270, time = 0.859 s
121/1000, sim loss = 593.094, time = 0.291 s
122/1000, rel loss = 51378.633, time = 0.859 s
123/1000, sim loss = 592.246, time = 0.290 s
124/1000, rel loss = 50863.415, time = 0.863 s
125/1000, sim loss = 591.396, time = 0.291 s
126/1000, rel loss = 50303.416, time = 0.866 s
127/1000, sim loss = 590.573, time = 0.292 s
128/1000, rel loss = 49778.498, time = 0.871 s
129/1000, sim loss = 589.764, time = 0.291 s
130/1000, rel loss = 49235.616, time = 0.864 s
131/1000, sim loss = 588.980, time = 0.290 s
132/1000, rel loss = 48764.383, time = 0.867 s
133/1000, sim loss = 588.212, time = 0.291 s
134/1000, rel loss = 48267.256, time = 0.865 s
135/1000, sim loss = 587.462, time = 0.291 s
136/1000, rel loss = 47766.275, time = 0.862 s
137/1000, sim loss = 586.722, time = 0.292 s
138/1000, rel loss = 47291.673, time = 0.867 s
139/1000, sim loss = 585.999, time = 0.288 s
140/1000, rel loss = 46783.860, time = 0.871 s
141/1000, sim loss = 585.285, time = 0.290 s
142/1000, rel loss = 46367.981, time = 0.869 s
143/1000, sim loss = 584.591, time = 0.290 s
144/1000, rel loss = 45922.832, time = 0.867 s
145/1000, sim loss = 583.913, time = 0.291 s
146/1000, rel loss = 45474.075, time = 0.867 s
147/1000, sim loss = 583.240, time = 0.290 s
148/1000, rel loss = 45071.945, time = 0.860 s
149/1000, sim loss = 582.582, time = 0.291 s
150/1000, rel loss = 44636.463, time = 0.866 s
151/1000, sim loss = 581.950, time = 0.294 s
152/1000, rel loss = 44206.105, time = 0.870 s
153/1000, sim loss = 581.325, time = 0.291 s
154/1000, rel loss = 43796.499, time = 0.864 s
155/1000, sim loss = 580.708, time = 0.291 s
156/1000, rel loss = 43394.058, time = 0.875 s
157/1000, sim loss = 580.103, time = 0.291 s
158/1000, rel loss = 43010.059, time = 0.861 s
159/1000, sim loss = 579.502, time = 0.291 s
160/1000, rel loss = 42604.775, time = 0.866 s
161/1000, sim loss = 578.922, time = 0.292 s
162/1000, rel loss = 42209.413, time = 0.873 s
163/1000, sim loss = 578.352, time = 0.292 s
164/1000, rel loss = 41831.012, time = 0.865 s
165/1000, sim loss = 577.794, time = 0.292 s
166/1000, rel loss = 41455.828, time = 0.860 s
167/1000, sim loss = 577.247, time = 0.290 s
168/1000, rel loss = 41139.930, time = 0.871 s
