***********************./en_de_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4919 = 15000
ents: 15000 + 4462 = 15000
all ents: 25500
all rels: 222 120 342
all triples: 38363 + 37377 = 75740
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
0/1000, rel loss = 182356.495, time = 0.963 s
1/1000, sim loss = 857.017, time = 1.439 s
2/1000, rel loss = 164824.233, time = 0.866 s
3/1000, sim loss = 850.136, time = 0.285 s
4/1000, rel loss = 154524.651, time = 0.868 s
5/1000, sim loss = 843.362, time = 0.270 s
6/1000, rel loss = 146714.296, time = 0.864 s
7/1000, sim loss = 836.643, time = 0.260 s
8/1000, rel loss = 140375.407, time = 0.863 s
9/1000, sim loss = 830.170, time = 0.260 s
10/1000, rel loss = 134910.987, time = 0.867 s
11/1000, sim loss = 823.811, time = 0.259 s
12/1000, rel loss = 130062.657, time = 0.867 s
13/1000, sim loss = 817.632, time = 0.268 s
14/1000, rel loss = 125820.724, time = 0.873 s
15/1000, sim loss = 811.593, time = 0.272 s
16/1000, rel loss = 122015.197, time = 0.894 s
17/1000, sim loss = 805.732, time = 0.332 s
18/1000, rel loss = 118529.849, time = 0.927 s
19/1000, sim loss = 800.041, time = 0.280 s
20/1000, rel loss = 115301.146, time = 0.873 s
21/1000, sim loss = 794.483, time = 0.279 s
22/1000, rel loss = 112299.522, time = 0.889 s
23/1000, sim loss = 789.084, time = 0.282 s
24/1000, rel loss = 109554.652, time = 0.870 s
25/1000, sim loss = 783.872, time = 0.269 s
26/1000, rel loss = 106959.588, time = 0.865 s
27/1000, sim loss = 778.803, time = 0.265 s
28/1000, rel loss = 104486.356, time = 0.864 s
29/1000, sim loss = 773.853, time = 0.256 s
30/1000, rel loss = 102198.400, time = 0.861 s
31/1000, sim loss = 769.025, time = 0.259 s
32/1000, rel loss = 100085.364, time = 0.868 s
33/1000, sim loss = 764.300, time = 0.284 s
34/1000, rel loss = 97956.412, time = 0.864 s
35/1000, sim loss = 759.699, time = 0.257 s
36/1000, rel loss = 96023.445, time = 0.867 s
37/1000, sim loss = 755.235, time = 0.256 s
38/1000, rel loss = 93994.853, time = 0.865 s
39/1000, sim loss = 750.917, time = 0.261 s
40/1000, rel loss = 92331.001, time = 0.870 s
41/1000, sim loss = 746.674, time = 0.262 s
