***********************./en_fr_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4991 = 15000
ents: 15000 + 4832 = 15000
all ents: 25500
all rels: 221 177 398
all triples: 36508 + 33532 = 70040
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
0/1000, rel loss = 183298.614, time = 1.003 s
1/1000, sim loss = 875.519, time = 1.705 s
2/1000, rel loss = 165408.771, time = 0.863 s
3/1000, sim loss = 866.580, time = 0.226 s
4/1000, rel loss = 154643.786, time = 0.865 s
5/1000, sim loss = 857.820, time = 0.221 s
6/1000, rel loss = 146356.445, time = 0.859 s
7/1000, sim loss = 849.157, time = 0.239 s
8/1000, rel loss = 139514.742, time = 0.864 s
9/1000, sim loss = 840.762, time = 0.251 s
10/1000, rel loss = 133672.802, time = 0.861 s
11/1000, sim loss = 832.677, time = 0.226 s
12/1000, rel loss = 128490.455, time = 0.856 s
13/1000, sim loss = 824.848, time = 0.238 s
14/1000, rel loss = 123877.135, time = 0.867 s
15/1000, sim loss = 817.267, time = 0.226 s
16/1000, rel loss = 119718.579, time = 0.861 s
17/1000, sim loss = 809.965, time = 0.225 s
18/1000, rel loss = 115835.475, time = 0.859 s
19/1000, sim loss = 802.891, time = 0.221 s
20/1000, rel loss = 112285.981, time = 0.858 s
21/1000, sim loss = 796.034, time = 0.227 s
22/1000, rel loss = 109013.754, time = 0.865 s
23/1000, sim loss = 789.419, time = 0.220 s
24/1000, rel loss = 105966.473, time = 0.855 s
25/1000, sim loss = 783.008, time = 0.224 s
26/1000, rel loss = 103096.166, time = 0.856 s
27/1000, sim loss = 776.855, time = 0.226 s
28/1000, rel loss = 100432.247, time = 0.855 s
29/1000, sim loss = 770.900, time = 0.235 s
30/1000, rel loss = 97887.176, time = 0.863 s
31/1000, sim loss = 765.108, time = 0.223 s
32/1000, rel loss = 95507.167, time = 0.863 s
33/1000, sim loss = 759.536, time = 0.222 s
34/1000, rel loss = 93307.435, time = 0.857 s
35/1000, sim loss = 754.139, time = 0.229 s
36/1000, rel loss = 91178.006, time = 0.856 s
37/1000, sim loss = 748.882, time = 0.227 s
38/1000, rel loss = 89152.466, time = 0.864 s
39/1000, sim loss = 743.739, time = 0.225 s
40/1000, rel loss = 87224.284, time = 0.860 s
41/1000, sim loss = 738.753, time = 0.221 s
42/1000, rel loss = 85396.540, time = 0.860 s
43/1000, sim loss = 734.013, time = 0.226 s
44/1000, rel loss = 83619.618, time = 0.866 s
45/1000, sim loss = 729.404, time = 0.225 s
46/1000, rel loss = 81934.356, time = 0.868 s
47/1000, sim loss = 724.857, time = 0.221 s
48/1000, rel loss = 80339.552, time = 0.862 s
49/1000, sim loss = 720.503, time = 0.232 s
50/1000, rel loss = 78776.505, time = 0.858 s
51/1000, sim loss = 716.291, time = 0.229 s
52/1000, rel loss = 77324.128, time = 0.860 s
53/1000, sim loss = 712.184, time = 0.225 s
54/1000, rel loss = 75922.342, time = 0.857 s
55/1000, sim loss = 708.180, time = 0.227 s
56/1000, rel loss = 74569.407, time = 0.858 s
57/1000, sim loss = 704.304, time = 0.232 s
58/1000, rel loss = 73258.112, time = 0.861 s
59/1000, sim loss = 700.538, time = 0.239 s
60/1000, rel loss = 72010.620, time = 0.859 s
61/1000, sim loss = 696.861, time = 0.224 s
62/1000, rel loss = 70797.437, time = 0.858 s
63/1000, sim loss = 693.317, time = 0.219 s
64/1000, rel loss = 69653.004, time = 0.864 s
65/1000, sim loss = 689.798, time = 0.224 s
66/1000, rel loss = 68555.024, time = 0.861 s
67/1000, sim loss = 686.437, time = 0.228 s
68/1000, rel loss = 67430.122, time = 0.855 s
69/1000, sim loss = 683.108, time = 0.233 s
70/1000, rel loss = 66412.765, time = 0.857 s
71/1000, sim loss = 679.847, time = 0.225 s
72/1000, rel loss = 65365.583, time = 0.864 s
73/1000, sim loss = 676.690, time = 0.233 s
74/1000, rel loss = 64401.100, time = 0.871 s
75/1000, sim loss = 673.602, time = 0.234 s
76/1000, rel loss = 63462.923, time = 0.856 s
77/1000, sim loss = 670.593, time = 0.231 s
78/1000, rel loss = 62537.545, time = 0.857 s
79/1000, sim loss = 667.656, time = 0.224 s
80/1000, rel loss = 61657.474, time = 0.858 s
81/1000, sim loss = 664.788, time = 0.220 s
