**************************./fb_dbp**************************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 25457 + 23270 = 25542
ents: 28502 + 10810 = 29861
all ents: 47661
all rels: 882 407 1289
all triples: 111974 + 96414 = 208388
To align: 17800
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
0/1000, rel loss = 507001.958, time = 1.839 s
1/1000, sim loss = 1434.839, time = 1.652 s
2/1000, rel loss = 464904.770, time = 1.849 s
3/1000, sim loss = 1418.257, time = 0.251 s
4/1000, rel loss = 439631.840, time = 1.873 s
5/1000, sim loss = 1401.841, time = 0.247 s
6/1000, rel loss = 419514.576, time = 1.857 s
7/1000, sim loss = 1385.875, time = 0.252 s
8/1000, rel loss = 402316.342, time = 1.874 s
9/1000, sim loss = 1370.329, time = 0.261 s
10/1000, rel loss = 387282.745, time = 1.845 s
11/1000, sim loss = 1355.274, time = 0.250 s
12/1000, rel loss = 373623.341, time = 1.862 s
13/1000, sim loss = 1340.649, time = 0.243 s
14/1000, rel loss = 361537.417, time = 1.833 s
15/1000, sim loss = 1326.694, time = 0.249 s
16/1000, rel loss = 350036.944, time = 1.853 s
17/1000, sim loss = 1313.304, time = 0.260 s
18/1000, rel loss = 339548.229, time = 1.865 s
19/1000, sim loss = 1300.485, time = 0.249 s
20/1000, rel loss = 329790.250, time = 1.840 s
21/1000, sim loss = 1288.106, time = 0.263 s
22/1000, rel loss = 320687.983, time = 1.863 s
23/1000, sim loss = 1276.146, time = 0.254 s
24/1000, rel loss = 312112.179, time = 1.859 s
25/1000, sim loss = 1264.693, time = 0.263 s
26/1000, rel loss = 304028.829, time = 1.865 s
27/1000, sim loss = 1253.818, time = 0.257 s
28/1000, rel loss = 296573.247, time = 1.877 s
29/1000, sim loss = 1243.387, time = 0.249 s
30/1000, rel loss = 289324.028, time = 1.848 s
31/1000, sim loss = 1233.260, time = 0.249 s
32/1000, rel loss = 282533.632, time = 1.854 s
33/1000, sim loss = 1223.635, time = 0.260 s
34/1000, rel loss = 276003.755, time = 1.866 s
35/1000, sim loss = 1214.380, time = 0.253 s
36/1000, rel loss = 269964.943, time = 1.869 s
37/1000, sim loss = 1205.404, time = 0.261 s
38/1000, rel loss = 264055.404, time = 1.859 s
39/1000, sim loss = 1196.805, time = 0.249 s
40/1000, rel loss = 258501.230, time = 1.847 s
41/1000, sim loss = 1188.533, time = 0.269 s
42/1000, rel loss = 253280.019, time = 1.852 s
43/1000, sim loss = 1180.580, time = 0.247 s
44/1000, rel loss = 248075.675, time = 1.869 s
45/1000, sim loss = 1172.897, time = 0.262 s
46/1000, rel loss = 243239.233, time = 1.881 s
47/1000, sim loss = 1165.493, time = 0.264 s
48/1000, rel loss = 238454.279, time = 1.867 s
49/1000, sim loss = 1158.451, time = 0.259 s
50/1000, rel loss = 233965.073, time = 1.869 s
51/1000, sim loss = 1151.530, time = 0.264 s
52/1000, rel loss = 229643.989, time = 1.855 s
53/1000, sim loss = 1144.851, time = 0.258 s
54/1000, rel loss = 225504.892, time = 1.877 s
55/1000, sim loss = 1138.467, time = 0.248 s
56/1000, rel loss = 221453.697, time = 1.860 s
57/1000, sim loss = 1132.308, time = 0.265 s
58/1000, rel loss = 217625.248, time = 1.846 s
59/1000, sim loss = 1126.364, time = 0.257 s
60/1000, rel loss = 213877.378, time = 1.865 s
61/1000, sim loss = 1120.618, time = 0.263 s
62/1000, rel loss = 210190.616, time = 1.866 s
63/1000, sim loss = 1115.065, time = 0.262 s
64/1000, rel loss = 206781.718, time = 1.875 s
65/1000, sim loss = 1109.707, time = 0.260 s
66/1000, rel loss = 203470.925, time = 1.874 s
67/1000, sim loss = 1104.545, time = 0.253 s
68/1000, rel loss = 200149.294, time = 1.862 s
69/1000, sim loss = 1099.503, time = 0.248 s
70/1000, rel loss = 197079.176, time = 1.855 s
71/1000, sim loss = 1094.653, time = 0.259 s
72/1000, rel loss = 194031.300, time = 1.839 s
73/1000, sim loss = 1090.072, time = 0.255 s
74/1000, rel loss = 191133.960, time = 1.895 s
75/1000, sim loss = 1085.568, time = 0.267 s
76/1000, rel loss = 188251.275, time = 1.859 s
77/1000, sim loss = 1081.171, time = 0.261 s
78/1000, rel loss = 185526.388, time = 1.872 s
79/1000, sim loss = 1076.952, time = 0.252 s
80/1000, rel loss = 182890.716, time = 1.866 s
81/1000, sim loss = 1072.841, time = 0.261 s
82/1000, rel loss = 180364.474, time = 1.852 s
83/1000, sim loss = 1068.879, time = 0.250 s
84/1000, rel loss = 177765.995, time = 1.869 s
85/1000, sim loss = 1065.029, time = 0.262 s
86/1000, rel loss = 175432.911, time = 1.845 s
87/1000, sim loss = 1061.304, time = 0.250 s
88/1000, rel loss = 173096.533, time = 1.867 s
89/1000, sim loss = 1057.653, time = 0.251 s
90/1000, rel loss = 170799.166, time = 1.844 s
91/1000, sim loss = 1054.132, time = 0.264 s
92/1000, rel loss = 168485.410, time = 1.879 s
93/1000, sim loss = 1050.711, time = 0.258 s
94/1000, rel loss = 166342.965, time = 1.857 s
95/1000, sim loss = 1047.368, time = 0.263 s
96/1000, rel loss = 164300.720, time = 1.869 s
97/1000, sim loss = 1044.125, time = 0.254 s
98/1000, rel loss = 162225.614, time = 1.860 s
99/1000, sim loss = 1041.024, time = 0.251 s
100/1000, rel loss = 160221.857, time = 1.873 s
101/1000, sim loss = 1037.973, time = 0.261 s
102/1000, rel loss = 158190.265, time = 1.863 s
103/1000, sim loss = 1035.004, time = 0.250 s
104/1000, rel loss = 156232.761, time = 1.844 s
105/1000, sim loss = 1032.149, time = 0.264 s
106/1000, rel loss = 154446.954, time = 1.847 s
107/1000, sim loss = 1029.376, time = 0.257 s
108/1000, rel loss = 152610.046, time = 1.861 s
109/1000, sim loss = 1026.650, time = 0.259 s
110/1000, rel loss = 150806.970, time = 1.866 s
111/1000, sim loss = 1024.092, time = 0.261 s
112/1000, rel loss = 149013.863, time = 1.853 s
113/1000, sim loss = 1021.498, time = 0.248 s
114/1000, rel loss = 147473.854, time = 1.863 s
115/1000, sim loss = 1019.070, time = 0.261 s
116/1000, rel loss = 145714.620, time = 1.862 s
117/1000, sim loss = 1016.593, time = 0.248 s
118/1000, rel loss = 144202.628, time = 1.867 s
119/1000, sim loss = 1014.229, time = 0.262 s
120/1000, rel loss = 142600.625, time = 1.860 s
121/1000, sim loss = 1011.868, time = 0.248 s
122/1000, rel loss = 141067.480, time = 1.844 s
123/1000, sim loss = 1009.583, time = 0.264 s
124/1000, rel loss = 139510.765, time = 1.866 s
125/1000, sim loss = 1007.334, time = 0.250 s
126/1000, rel loss = 138170.650, time = 1.864 s
127/1000, sim loss = 1005.161, time = 0.251 s
128/1000, rel loss = 136739.373, time = 1.875 s
129/1000, sim loss = 1003.047, time = 0.249 s
130/1000, rel loss = 135343.989, time = 1.868 s
131/1000, sim loss = 1001.021, time = 0.259 s
132/1000, rel loss = 133979.991, time = 1.879 s
133/1000, sim loss = 999.056, time = 0.257 s
134/1000, rel loss = 132645.024, time = 1.855 s
135/1000, sim loss = 997.151, time = 0.251 s
136/1000, rel loss = 131234.127, time = 1.902 s
137/1000, sim loss = 995.312, time = 0.264 s
138/1000, rel loss = 130131.084, time = 1.855 s
139/1000, sim loss = 993.434, time = 0.262 s
140/1000, rel loss = 128690.009, time = 1.875 s
141/1000, sim loss = 991.716, time = 0.251 s
142/1000, rel loss = 127526.323, time = 1.850 s
143/1000, sim loss = 989.963, time = 0.249 s
144/1000, rel loss = 126343.689, time = 1.885 s
145/1000, sim loss = 988.279, time = 0.261 s
146/1000, rel loss = 125242.885, time = 1.875 s
147/1000, sim loss = 986.655, time = 0.261 s
148/1000, rel loss = 124024.868, time = 1.875 s
149/1000, sim loss = 985.062, time = 0.264 s
150/1000, rel loss = 122872.176, time = 1.856 s
151/1000, sim loss = 983.483, time = 0.248 s
152/1000, rel loss = 121788.161, time = 1.850 s
153/1000, sim loss = 981.944, time = 0.264 s
154/1000, rel loss = 120747.445, time = 1.858 s
155/1000, sim loss = 980.460, time = 0.263 s
156/1000, rel loss = 119683.000, time = 1.870 s
157/1000, sim loss = 979.006, time = 0.257 s
158/1000, rel loss = 118615.832, time = 1.864 s
159/1000, sim loss = 977.583, time = 0.257 s
160/1000, rel loss = 117552.702, time = 1.862 s
161/1000, sim loss = 976.176, time = 0.248 s
162/1000, rel loss = 116596.660, time = 1.852 s
163/1000, sim loss = 974.845, time = 0.251 s
164/1000, rel loss = 115510.668, time = 1.867 s
165/1000, sim loss = 973.448, time = 0.251 s
166/1000, rel loss = 114653.604, time = 1.865 s
167/1000, sim loss = 972.117, time = 0.264 s
168/1000, rel loss = 113726.443, time = 1.876 s
169/1000, sim loss = 970.776, time = 0.258 s
170/1000, rel loss = 112725.964, time = 1.874 s
171/1000, sim loss = 969.488, time = 0.256 s
172/1000, rel loss = 111845.405, time = 1.867 s
173/1000, sim loss = 968.221, time = 0.257 s
174/1000, rel loss = 111049.271, time = 1.877 s
175/1000, sim loss = 967.009, time = 0.261 s
176/1000, rel loss = 110160.198, time = 1.848 s
177/1000, sim loss = 965.831, time = 0.260 s
178/1000, rel loss = 109277.699, time = 1.866 s
179/1000, sim loss = 964.653, time = 0.264 s
180/1000, rel loss = 108465.713, time = 1.868 s
181/1000, sim loss = 963.577, time = 0.246 s
182/1000, rel loss = 107516.268, time = 1.875 s
183/1000, sim loss = 962.456, time = 0.250 s
184/1000, rel loss = 106837.017, time = 1.868 s
185/1000, sim loss = 961.408, time = 0.260 s
