22-30-10

0/1000, rel loss = 558237.938, time = 2.007 s
1/1000, sim loss = 1412.147, time = 1.517 s
2/1000, rel loss = 493156.851, time = 2.020 s
3/1000, sim loss = 1383.005, time = 0.252 s
4/1000, rel loss = 457067.957, time = 2.054 s
5/1000, sim loss = 1355.284, time = 0.253 s
6/1000, rel loss = 429921.621, time = 2.022 s
7/1000, sim loss = 1328.590, time = 0.250 s
8/1000, rel loss = 407670.434, time = 2.009 s
9/1000, sim loss = 1302.909, time = 0.252 s
10/1000, rel loss = 388637.248, time = 2.032 s
11/1000, sim loss = 1278.176, time = 0.256 s
12/1000, rel loss = 371968.824, time = 2.031 s
13/1000, sim loss = 1254.374, time = 0.253 s
14/1000, rel loss = 356960.705, time = 2.027 s
15/1000, sim loss = 1231.376, time = 0.251 s
16/1000, rel loss = 343278.086, time = 2.032 s
17/1000, sim loss = 1209.146, time = 0.253 s
18/1000, rel loss = 330904.456, time = 2.014 s
19/1000, sim loss = 1187.657, time = 0.259 s
20/1000, rel loss = 319454.241, time = 2.036 s
21/1000, sim loss = 1166.903, time = 0.250 s
22/1000, rel loss = 308849.459, time = 2.020 s
23/1000, sim loss = 1146.894, time = 0.251 s
24/1000, rel loss = 299029.175, time = 2.034 s
25/1000, sim loss = 1127.536, time = 0.252 s
26/1000, rel loss = 289752.711, time = 2.044 s
27/1000, sim loss = 1108.885, time = 0.253 s
28/1000, rel loss = 281077.415, time = 2.025 s
29/1000, sim loss = 1090.884, time = 0.251 s
30/1000, rel loss = 272974.951, time = 2.035 s
31/1000, sim loss = 1073.483, time = 0.250 s
32/1000, rel loss = 265271.377, time = 2.025 s
33/1000, sim loss = 1056.669, time = 0.252 s
34/1000, rel loss = 258021.775, time = 2.018 s
35/1000, sim loss = 1040.397, time = 0.249 s
36/1000, rel loss = 251201.156, time = 2.026 s
37/1000, sim loss = 1024.746, time = 0.260 s
38/1000, rel loss = 244708.594, time = 2.026 s
39/1000, sim loss = 1009.653, time = 0.250 s
40/1000, rel loss = 238490.349, time = 2.037 s
41/1000, sim loss = 995.007, time = 0.254 s
42/1000, rel loss = 232682.035, time = 2.023 s
43/1000, sim loss = 980.946, time = 0.255 s
44/1000, rel loss = 227113.534, time = 2.018 s
45/1000, sim loss = 967.348, time = 0.258 s
46/1000, rel loss = 221769.283, time = 2.020 s
47/1000, sim loss = 954.225, time = 0.260 s
48/1000, rel loss = 216710.857, time = 2.033 s
49/1000, sim loss = 941.526, time = 0.253 s
50/1000, rel loss = 211912.576, time = 2.029 s
51/1000, sim loss = 929.271, time = 0.260 s
52/1000, rel loss = 207297.887, time = 2.029 s
53/1000, sim loss = 917.446, time = 0.250 s
54/1000, rel loss = 202837.848, time = 2.012 s
55/1000, sim loss = 906.081, time = 0.252 s
56/1000, rel loss = 198661.077, time = 2.015 s
57/1000, sim loss = 895.058, time = 0.259 s
58/1000, rel loss = 194612.652, time = 2.031 s
59/1000, sim loss = 884.401, time = 0.253 s
60/1000, rel loss = 190754.375, time = 2.030 s
61/1000, sim loss = 874.114, time = 0.257 s
62/1000, rel loss = 187015.810, time = 2.038 s
63/1000, sim loss = 864.113, time = 0.249 s
64/1000, rel loss = 183373.706, time = 2.025 s
65/1000, sim loss = 854.489, time = 0.253 s
66/1000, rel loss = 179972.027, time = 2.036 s
67/1000, sim loss = 845.187, time = 0.250 s
68/1000, rel loss = 176594.740, time = 2.024 s
69/1000, sim loss = 836.236, time = 0.251 s
70/1000, rel loss = 173409.812, time = 2.029 s
71/1000, sim loss = 827.495, time = 0.257 s
72/1000, rel loss = 170360.379, time = 2.075 s
73/1000, sim loss = 819.089, time = 0.264 s
74/1000, rel loss = 167459.660, time = 2.113 s
75/1000, sim loss = 810.931, time = 0.254 s
76/1000, rel loss = 164654.937, time = 2.030 s
77/1000, sim loss = 803.067, time = 0.250 s
78/1000, rel loss = 161851.031, time = 2.021 s
79/1000, sim loss = 795.468, time = 0.248 s
80/1000, rel loss = 159274.391, time = 2.028 s
81/1000, sim loss = 788.074, time = 0.259 s
82/1000, rel loss = 156663.096, time = 2.019 s
83/1000, sim loss = 780.959, time = 0.253 s
84/1000, rel loss = 154200.732, time = 2.037 s
85/1000, sim loss = 774.018, time = 0.261 s
86/1000, rel loss = 151862.499, time = 2.051 s
87/1000, sim loss = 767.363, time = 0.252 s
88/1000, rel loss = 149585.716, time = 2.043 s
89/1000, sim loss = 760.851, time = 0.255 s
