22-45-01

0/1000, rel loss = 437454.044, time = 1.569 s
1/1000, sim loss = 1440.135, time = 1.516 s
2/1000, rel loss = 388895.439, time = 1.656 s
3/1000, sim loss = 1412.641, time = 0.226 s
4/1000, rel loss = 361615.220, time = 1.580 s
5/1000, sim loss = 1386.528, time = 0.269 s
6/1000, rel loss = 341071.494, time = 1.571 s
7/1000, sim loss = 1361.685, time = 0.224 s
8/1000, rel loss = 324326.842, time = 1.544 s
9/1000, sim loss = 1337.979, time = 0.214 s
10/1000, rel loss = 309910.869, time = 1.568 s
11/1000, sim loss = 1315.102, time = 0.218 s
12/1000, rel loss = 297351.614, time = 1.573 s
13/1000, sim loss = 1293.079, time = 0.221 s
14/1000, rel loss = 286053.143, time = 1.550 s
15/1000, sim loss = 1271.991, time = 0.212 s
16/1000, rel loss = 275887.928, time = 1.689 s
17/1000, sim loss = 1251.693, time = 0.244 s
18/1000, rel loss = 266653.898, time = 1.602 s
19/1000, sim loss = 1232.107, time = 0.210 s
20/1000, rel loss = 258057.218, time = 1.541 s
21/1000, sim loss = 1213.222, time = 0.212 s
22/1000, rel loss = 250168.142, time = 1.547 s
23/1000, sim loss = 1195.033, time = 0.218 s
24/1000, rel loss = 242770.396, time = 1.580 s
25/1000, sim loss = 1177.476, time = 0.220 s
26/1000, rel loss = 235846.591, time = 1.588 s
27/1000, sim loss = 1160.545, time = 0.243 s
28/1000, rel loss = 229447.581, time = 1.583 s
29/1000, sim loss = 1144.139, time = 0.216 s
30/1000, rel loss = 223344.208, time = 1.588 s
31/1000, sim loss = 1128.388, time = 0.221 s
32/1000, rel loss = 217622.874, time = 1.583 s
33/1000, sim loss = 1113.174, time = 0.214 s
34/1000, rel loss = 212264.051, time = 1.617 s
35/1000, sim loss = 1098.443, time = 0.215 s
36/1000, rel loss = 207161.453, time = 1.595 s
37/1000, sim loss = 1084.182, time = 0.224 s
38/1000, rel loss = 202338.498, time = 1.558 s
39/1000, sim loss = 1070.435, time = 0.212 s
40/1000, rel loss = 197758.316, time = 1.532 s
41/1000, sim loss = 1057.094, time = 0.210 s
42/1000, rel loss = 193388.868, time = 1.545 s
43/1000, sim loss = 1044.186, time = 0.224 s
44/1000, rel loss = 189210.405, time = 1.580 s
45/1000, sim loss = 1031.682, time = 0.224 s
46/1000, rel loss = 185208.863, time = 1.604 s
47/1000, sim loss = 1019.566, time = 0.224 s
48/1000, rel loss = 181397.470, time = 1.580 s
49/1000, sim loss = 1007.839, time = 0.216 s
50/1000, rel loss = 177774.214, time = 1.554 s
51/1000, sim loss = 996.495, time = 0.220 s
52/1000, rel loss = 174340.245, time = 1.619 s
53/1000, sim loss = 985.488, time = 0.233 s
54/1000, rel loss = 171024.010, time = 1.606 s
55/1000, sim loss = 974.859, time = 0.220 s
56/1000, rel loss = 167763.833, time = 1.583 s
57/1000, sim loss = 964.571, time = 0.220 s
58/1000, rel loss = 164710.981, time = 1.593 s
59/1000, sim loss = 954.551, time = 0.217 s
60/1000, rel loss = 161779.813, time = 1.539 s
61/1000, sim loss = 944.873, time = 0.215 s
62/1000, rel loss = 158880.938, time = 1.553 s
63/1000, sim loss = 935.462, time = 0.215 s
64/1000, rel loss = 156160.696, time = 1.570 s
65/1000, sim loss = 926.308, time = 0.218 s
66/1000, rel loss = 153523.468, time = 1.558 s
67/1000, sim loss = 917.447, time = 0.224 s
68/1000, rel loss = 150971.274, time = 1.532 s
