17-02-21

0/1000, rel loss = 408740.963, time = 1.489 s
1/1000, sim loss = 1460.919, time = 1.512 s
2/1000, rel loss = 361665.086, time = 1.458 s
3/1000, sim loss = 1431.340, time = 0.211 s
4/1000, rel loss = 335203.634, time = 1.450 s
5/1000, sim loss = 1403.985, time = 0.212 s
6/1000, rel loss = 315527.065, time = 1.459 s
7/1000, sim loss = 1378.420, time = 0.212 s
8/1000, rel loss = 299484.823, time = 1.446 s
9/1000, sim loss = 1354.320, time = 0.214 s
10/1000, rel loss = 285833.819, time = 1.446 s
11/1000, sim loss = 1331.414, time = 0.214 s
12/1000, rel loss = 274025.037, time = 1.443 s
13/1000, sim loss = 1309.671, time = 0.213 s
14/1000, rel loss = 263506.709, time = 1.454 s
15/1000, sim loss = 1288.915, time = 0.212 s
16/1000, rel loss = 253980.752, time = 1.453 s
17/1000, sim loss = 1268.948, time = 0.214 s
18/1000, rel loss = 245406.500, time = 1.450 s
19/1000, sim loss = 1250.017, time = 0.213 s
20/1000, rel loss = 237568.407, time = 1.443 s
21/1000, sim loss = 1231.761, time = 0.211 s
22/1000, rel loss = 230351.404, time = 1.453 s
23/1000, sim loss = 1214.163, time = 0.210 s
24/1000, rel loss = 223591.494, time = 1.457 s
25/1000, sim loss = 1197.215, time = 0.212 s
26/1000, rel loss = 217257.383, time = 1.446 s
27/1000, sim loss = 1180.884, time = 0.214 s
28/1000, rel loss = 211405.803, time = 1.456 s
29/1000, sim loss = 1165.171, time = 0.211 s
30/1000, rel loss = 205875.047, time = 1.449 s
31/1000, sim loss = 1149.956, time = 0.211 s
32/1000, rel loss = 200785.617, time = 1.448 s
33/1000, sim loss = 1135.268, time = 0.212 s
34/1000, rel loss = 195922.260, time = 1.459 s
35/1000, sim loss = 1121.067, time = 0.211 s
36/1000, rel loss = 191308.745, time = 1.464 s
37/1000, sim loss = 1107.302, time = 0.211 s
38/1000, rel loss = 186938.425, time = 1.452 s
39/1000, sim loss = 1094.016, time = 0.213 s
40/1000, rel loss = 182721.732, time = 1.467 s
41/1000, sim loss = 1081.131, time = 0.211 s
42/1000, rel loss = 178772.323, time = 1.505 s
43/1000, sim loss = 1068.694, time = 0.226 s
44/1000, rel loss = 174984.159, time = 1.562 s
45/1000, sim loss = 1056.616, time = 0.219 s
46/1000, rel loss = 171366.158, time = 1.482 s
47/1000, sim loss = 1044.901, time = 0.214 s
48/1000, rel loss = 167974.175, time = 1.504 s
49/1000, sim loss = 1033.505, time = 0.213 s
50/1000, rel loss = 164627.342, time = 1.534 s
51/1000, sim loss = 1022.487, time = 0.233 s
52/1000, rel loss = 161489.094, time = 1.515 s
53/1000, sim loss = 1011.740, time = 0.223 s
54/1000, rel loss = 158413.138, time = 1.468 s
55/1000, sim loss = 1001.280, time = 0.211 s
56/1000, rel loss = 155503.202, time = 1.450 s
57/1000, sim loss = 991.169, time = 0.213 s
58/1000, rel loss = 152768.343, time = 1.471 s
59/1000, sim loss = 981.303, time = 0.215 s
60/1000, rel loss = 150067.358, time = 1.510 s
61/1000, sim loss = 971.740, time = 0.218 s
62/1000, rel loss = 147380.725, time = 1.483 s
63/1000, sim loss = 962.432, time = 0.212 s
64/1000, rel loss = 144945.421, time = 1.499 s
65/1000, sim loss = 953.330, time = 0.216 s
66/1000, rel loss = 142557.290, time = 1.480 s
67/1000, sim loss = 944.537, time = 0.215 s
68/1000, rel loss = 140309.480, time = 1.471 s
69/1000, sim loss = 935.966, time = 0.218 s
70/1000, rel loss = 138012.289, time = 1.460 s
71/1000, sim loss = 927.611, time = 0.213 s
72/1000, rel loss = 135845.152, time = 1.458 s
73/1000, sim loss = 919.482, time = 0.211 s
74/1000, rel loss = 133709.716, time = 1.457 s
75/1000, sim loss = 911.576, time = 0.213 s
76/1000, rel loss = 131726.925, time = 1.470 s
77/1000, sim loss = 903.839, time = 0.213 s
78/1000, rel loss = 129714.664, time = 1.456 s
79/1000, sim loss = 896.316, time = 0.213 s
80/1000, rel loss = 127807.566, time = 1.461 s
81/1000, sim loss = 888.980, time = 0.213 s
82/1000, rel loss = 126006.834, time = 1.452 s
83/1000, sim loss = 881.805, time = 0.212 s
84/1000, rel loss = 124204.483, time = 1.449 s
85/1000, sim loss = 874.812, time = 0.212 s
86/1000, rel loss = 122510.059, time = 1.459 s
87/1000, sim loss = 867.977, time = 0.211 s
88/1000, rel loss = 120762.484, time = 1.453 s
89/1000, sim loss = 861.339, time = 0.213 s
90/1000, rel loss = 119094.055, time = 1.456 s
91/1000, sim loss = 854.853, time = 0.215 s
92/1000, rel loss = 117508.821, time = 1.461 s
93/1000, sim loss = 848.535, time = 0.219 s
94/1000, rel loss = 115954.683, time = 1.468 s
95/1000, sim loss = 842.335, time = 0.217 s
96/1000, rel loss = 114487.515, time = 1.466 s
97/1000, sim loss = 836.309, time = 0.213 s
98/1000, rel loss = 112974.594, time = 1.454 s
99/1000, sim loss = 830.432, time = 0.211 s
100/1000, rel loss = 111581.057, time = 1.463 s
101/1000, sim loss = 824.667, time = 0.211 s
102/1000, rel loss = 110073.112, time = 1.451 s
103/1000, sim loss = 819.027, time = 0.210 s
104/1000, rel loss = 108873.063, time = 1.476 s
105/1000, sim loss = 813.535, time = 0.213 s
106/1000, rel loss = 107506.571, time = 1.446 s
107/1000, sim loss = 808.144, time = 0.215 s
108/1000, rel loss = 106172.154, time = 1.465 s
109/1000, sim loss = 802.863, time = 0.213 s
110/1000, rel loss = 104979.179, time = 1.487 s
111/1000, sim loss = 797.724, time = 0.212 s
112/1000, rel loss = 103725.947, time = 1.485 s
113/1000, sim loss = 792.675, time = 0.213 s
114/1000, rel loss = 102520.377, time = 1.474 s
115/1000, sim loss = 787.771, time = 0.214 s
116/1000, rel loss = 101338.931, time = 1.461 s
